Document Name,Document Title,Document Public Url
"THE KARNATAKA PRIVATE AIDED EDUCATIONAL INSTITUTIONS EMPLOYEES (REGULATION OF PAY, PENSION AND OTHER BENEFITS) ACT, 2014-ENG.pdf","THE KARNATAKA PRIVATE AIDED EDUCATIONAL INSTITUTIONS EMPLOYEES (REGULATION OF PAY, PENSION AND OTHER BENEFITS) ACT, 2014",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20PRIVATE%20AIDED%20EDUCATIONAL%20INSTITUTIONS%20EMPLOYEES%20%28REGULATION%20OF%20PAY%2C%20PENSION%20AND%20OTHER%20BENEFITS%29%20ACT%2C%202014-ENG.pdf
"THE KARNATAKA STATE COMMISSION FOR SAFAI KARMACHARIS ACT, 2012-ENG.pdf","THE KARNATAKA STATE COMMISSION FOR SAFAIKARMACHARIS ACT, 2012",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20STATE%20COMMISSION%20FOR%20SAFAI%20KARMACHARIS%20ACT%2C%202012-ENG.pdf
11 of 1957 (E).pdf,"THE KARNATAKA CONTINGENCY FUND ACT, 1957",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/11%20of%201957%20%28E%29.pdf
"THE SAHYADRI HERITAGE DEVELOPMENT AUTHORITY ACT, 2011-ENG.pdf","THE SAHYADRI HERITAGE DEVELOPMENT AUTHORITY ACT, 2011",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20SAHYADRI%20HERITAGE%20DEVELOPMENT%20AUTHORITY%20ACT%2C%202011-ENG.pdf
"THE KARNATAKA JANAPADA VISHWAVIDYALAYA ACT, 2011-ENG.pdf","THE KARNATAKA JANAPADA VISHWAVIDYALAYA ACT, 2011",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20JANAPADA%20VISHWAVIDYALAYA%20ACT%2C%202011-ENG.pdf
"THE KARNATAKA SCHEDULED CASTES, SCHEDULED TRIBES AND...ETC 1990-ENG.pdf","THE KARNATAKA SCHEDULED CASTES, SCHEDULED TRIBES AND OTHER BACKWARD CLASSES (RESERVATION OF APPOINTMENT ETC) ACT, 1990",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20SCHEDULED%20CASTES%2C%20SCHEDULED%20TRIBES%20AND...ETC%201990-ENG.pdf
"THE KARNATAKA SMALL CAUSE COURTS ACT, 1964-ENG.pdf","THE KARNATAKA SMALL CAUSE COURTS ACT, 1964",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20SMALL%20CAUSE%20COURTS%20ACT%2C%201964-ENG.pdf
"THE KARNATAKA (SANDUR AREA) INAMS ABOLITION ACT, 1976-ENG.pdf","THE KARNATAKA (SANDUR AREA) INAMS ABOLITION ACT, 1976",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20%28SANDUR%20AREA%29%20INAMS%20ABOLITION%20ACT%2C%201976-ENG.pdf
42 of 1964 (E).pdf,"THE KARNATAKA FIRE FORCE ACT, 1964",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/42%20of%201964%20%28E%29.pdf
THE KARNATAKA REGULATION OF PAY AND PENSION OF TEACHER IN...ETC 2020-ENG.pdf,"THE KARNATAKA REGULATION OF PAY AND PENSION OF TEACHER IN HIGHER EDUCATIONAL INSTITUTIONS ACT, 2020",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20REGULATION%20OF%20PAY%20AND%20PENSION%20OF%20TEACHER%20IN...ETC%202020-ENG.pdf
THE KARNATAKA STATE CIVIL SERVICES (REGULATION OF TRANSFER OF....ETC 2007-ENG.pdf,"THE KARNATAKA STATE CIVIL SERVICES (REGULATION OF TRANSFER OF TEACHERS) ACT, 2007",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20STATE%20CIVIL%20SERVICES%20%28REGULATION%20OF%20TRANSFER%20OF....ETC%202007-ENG.pdf
"THE KARNATAKA KRISHNA BASIN DEVELOPMENT AUTHORITY (REPEAL)ACT, 2021-ENG.pdf","THE KARNATAKA KRISHNA BASIN DEVELOPMENT AUTHORITY (REPEAL) ACT, 2021",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20KRISHNA%20BASIN%20DEVELOPMENT%20AUTHORITY%20%28REPEAL%29ACT%2C%202021-ENG.pdf
8 of 2018 (E) emblem.pdf,"THE BANAVASI DEVELOPMENT AUTHORITY ACT, 2018",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/8%20of%202018%20%28E%29%20emblem.pdf
"SHRI DHARMASTHALA MANJUNATHESHWARA UNIVERSITY ACT, 2018-ENG.pdf","SHRI DHARMASTHALA MANJUNATHESHWARA UNIVERSITY ACT, 2018",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/SHRI%20DHARMASTHALA%20MANJUNATHESHWARA%20UNIVERSITY%20ACT%2C%202018-ENG.pdf
"THE KARNATAKA PROTECTION OF RIGHT TO FREEDOM OF RELIGION ACT, 2022-ENG.pdf","THE KARNATAKA PROTECTION OF RIGHT TO FREEDOM OF RELIGION ACT, 2022",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20PROTECTION%20OF%20RIGHT%20TO%20FREEDOM%20OF%20RELIGION%20ACT%2C%202022-ENG.pdf
20 of 1982 (E).pdf,"THE CODE OF CRIMINAL PROCEDURE (KARNATAKA AMENDMENT) ACT, 1982",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/20%20of%201982%20%28E%29.pdf
15 of 1990 (E)Fishing Harbour Terminals Authority Act 1986.pdf,"THE KARNATAKA FISHING HARBOUR TERMINALS AUTHORITY ACT, 1986",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/15%20of%201990%20%28E%29Fishing%20Harbour%20Terminals%20Authority%20Act%201986.pdf
"21 of 2018 (E)Extension Of Consequential Seniority To Government Servants Promoted On The Basis Of Reservation (To The Posts In The Civil Services Of The State) Act, 2017 (21 of 2018).pdf","THE KARNATAKA EXTENSION OF CONSEQUENTIAL SENIORITY TO GOVERNMENT SERVANTS PROMOTED ON THE BASIS OF RESERVATION (TO THE POSTS IN THE CIVIL SERVICES OF THE STATE) ACT, 2017",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/21%20of%202018%20%28E%29Extension%20Of%20Consequential%20Seniority%20To%20Government%20Servants%20Promoted%20On%20The%20Basis%20Of%20Reservation%20%28To%20The%20Posts%20In%20The%20Civil%20Services%20Of%20The%20State%29%20Act%2C%202017%20%2821%20of%202018%29.pdf
"THE KARNATAKA MEDICAL REGISTRATION ACT, 1961 (E).pdf","THE KARNATAKA MEDICAL REGISTRATION ACT, 1961",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20MEDICAL%20REGISTRATION%20ACT%2C%201961%20%28E%29.pdf
"THE KARNATAKA REPEALING OF CERTAIN ENACTMENTS AND REGIONAL LAWS ACT, 2013-ENG.pdf","THE KARNATAKA REPEALING OF CERTAIN ENACTMENTS AND REGIONAL LAWS ACT, 2013",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20REPEALING%20OF%20CERTAIN%20ENACTMENTS%20AND%20REGIONAL%20LAWS%20ACT%2C%202013-ENG.pdf
19 of 1985 (E).pdf,"THE CODE OF CRIMINAL PROCEDURE (KARNATAKA AMENDMENT) ACT, 1985",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/19%20of%201985%20%28E%29.pdf
"THE RAI TECHNOLOGY UNIVERSITY, BANGALORE ACT, 2012-ENG.pdf","THE RAI TECHNOLOGY UNIVERSITY, BANGALORE ACT, 2012",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20RAI%20TECHNOLOGY%20UNIVERSITY%2C%20BANGALORE%20ACT%2C%202012-ENG.pdf
"THE KLE TECHNOLOGICAL UNIVERSITY ACT, 2012-ENG.pdf","THE KLE TECHNOLOGICAL UNIVERSITY ACT, 2012",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KLE%20TECHNOLOGICAL%20UNIVERSITY%20ACT%2C%202012-ENG.pdf
21 of 1964 (E).pdf,"THE KARNATAKA CIVIL COURTS ACT, 1964",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/21%20of%201964%20%28E%29.pdf
"23 of 1975 (E)Government Parks (Preservation) Act, 1975 (23 of 1975)- Amended by Acts 24 of 1976, 30 of 1982, 42 of 2003, 21 of 2010, 21 of 2011 and 58 of 2013.pdf","THE KARNATAKA GOVERNMENT PARKS (PRESERVATION) ACT, 1975)",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/23%20of%201975%20%28E%29Government%20Parks%20%28Preservation%29%20Act%2C%201975%20%2823%20of%201975%29-%20Amended%20by%20Acts%2024%20of%201976%2C%2030%20of%201982%2C%2042%20of%202003%2C%2021%20of%202010%2C%2021%20of%202011%20and%2058%20of%202013.pdf
14 of 2022 (E).pdf,"THE KARNATAKA CIVIL SERVICES (VALIDATION OF SELECTION AND APPOINTMENT OF 2011 BATCH GAZETTED PROBATIONERS) ACT, 2022",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/14%20of%202022%20%28E%29.pdf
"THE KARNATAKA VETERINARY, ANIMAL AND FISHERIES...ETC 2004-ENG.pdf","THE KARNATAKA VETERINARY, ANIMAL AND FISHERIES SCIENCES UNIVERSITY ACT, 2004",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20VETERINARY%2C%20ANIMAL%20AND%20FISHERIES...ETC%202004-ENG.pdf
"THE KARNATAKA PROHIBITION OF CHARGING EXORBITANT INTEREST ACT, 2004-ENG.pdf",THE KARNATAKA PROHIBITION OF CHARGING EXORBITANT INTEREST ACT 2004,https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20PROHIBITION%20OF%20CHARGING%20EXORBITANT%20INTEREST%20ACT%2C%202004-ENG.pdf
"THE R V UNIVERSITY ACT, 2019-ENG.pdf","THE R V UNIVERSITY ACT, 2019",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20R%20V%20UNIVERSITY%20ACT%2C%202019-ENG.pdf
"THE KARNATAKA STATE COMMISSION FOR WOMEN ACT, 1995-ENG.pdf","THE KARNATAKA STATE COMMISSION FOR WOMEN ACT, 1995",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20STATE%20COMMISSION%20FOR%20WOMEN%20ACT%2C%201995-ENG.pdf
"THE VISVESVARAYA TECHONOLOGICAL UNIVERSITY ACT, 1994-ENG.pdf","THE VISVESVARAYA TECHONOLOGICAL UNIVERSITY ACT, 1994",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20VISVESVARAYA%20TECHONOLOGICAL%20UNIVERSITY%20ACT%2C%201994-ENG.pdf
12 of 2010 (E) emblem.pdf,"THE KARNATAKA BORDER AREA DEVELOPMENT AUTHORITY ACT, 2010",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/12%20of%202010%20%28E%29%20emblem.pdf
35 of 1984 (E).pdf,"THE CODE OF CRIMINAL PROCEDURE (KARNATAKA AMENDMENT) ACT, 1983",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/35%20of%201984%20%28E%29.pdf
"THE KARNATAKA LEGISLATURE (PREVENTION OF DISQUALIFICATION) ACT, 1956 -ENG.pdf","THE KARNATAKA LEGISLATURE (PREVENTION OF DISQUALIFICATION) ACT, 1956",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20LEGISLATURE%20%28PREVENTION%20OF%20DISQUALIFICATION%29%20ACT%2C%201956%20-ENG.pdf
"THE KARNATAKA SOCIETIES REGISTRATION ACT, 1960-ENG.pdf","THE KARNATAKA SOCIETIES REGISTRATION ACT, 1960",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20SOCIETIES%20REGISTRATION%20ACT%2C%201960-ENG.pdf
"THE KARNATAKA STATE HIGHER EDUCATION COUNCIL ACT, 2010-ENG.pdf","THE KARNATAKA STATE HIGHER EDUCATION COUNCIL ACT, 2010",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20STATE%20HIGHER%20EDUCATION%20COUNCIL%20ACT%2C%202010-ENG.pdf
"THE KARNATAKA HOMŒOPATHIC PRACTITIONERS ACT, 1961-ENG.pdf","THE KARNATAKA HOMŒOPATHIC PRACTITIONERS ACT, 1961",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20HOM%C5%92OPATHIC%20PRACTITIONERS%20ACT%2C%201961-ENG.pdf
1 of 1984 (E).pdf,"THE KARNATAKA DEVADASIS (PROHIBITION OF DEDICATION) ACT, 1982",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/1%20of%201984%20%28E%29.pdf
"THE KARNATAKA TRANSPARENCY IN PUBLIC PROCUREMENTS ACT, 1999-ENG.pdf","THE KARNATAKA TRANSPARENCY IN PUBLIC PROCUREMENTS ACT, 1999",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20TRANSPARENCY%20IN%20PUBLIC%20PROCUREMENTS%20ACT%2C%201999-ENG.pdf
"THE KARNATAKA PROFESSIONAL EDUCATIONAL INSTITUTIONS (REGULATION OF ADMISSION AND FIXATION OF FEE) (SPECIAL PROVISIONS)  ACT, 2012-ENG.pdf","THE KARNATAKA PROFESSIONAL EDUCATIONAL INSTITUTIONS (REGULATION OF ADMISSION AND FIXATION OF FEE) (SPECIAL PROVISIONS) ACT, 2012",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20PROFESSIONAL%20EDUCATIONAL%20INSTITUTIONS%20%28REGULATION%20OF%20ADMISSION%20AND%20FIXATION%20OF%20FEE%29%20%28SPECIAL%20PROVISIONS%29%20%20ACT%2C%202012-ENG.pdf
"THE VYDEHI UNIVERSITY ACT, 2013-ENG.pdf","THE VYDEHI UNIVERSITY ACT, 2013",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20VYDEHI%20UNIVERSITY%20ACT%2C%202013-ENG.pdf
THE KARNATAKA SECONDARY EDUCATION...ETC 1966-ENG.pdf,"THE KARNATAKA SECONDARY EDUCATION EXAMINATION BOARD ACT, 1966",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20SECONDARY%20EDUCATION...ETC%201966-ENG.pdf
"THE KARNATAKA LIFTS, ESCALATORS AND PASSENGER CONVEYORS ACT, 2012- ENG.pdf","THE KARNATAKA LIFTS, ESCALATORS AND PASSENGER CONVEYORS ACT, 2012",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20LIFTS%2C%20ESCALATORS%20AND%20PASSENGER%20CONVEYORS%20ACT%2C%202012-%20ENG.pdf
29 of 1975 (E).pdf,"THE CRIMINAL LAW AND IDENTIFICATION OF PRISONERS (KARNATAKA EXTENSION AND AMENDMENT) ACT, 1975",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/29%20of%201975%20%28E%29.pdf
THE KARNATAKA RELIEF UNDERTAKINGS (SPECIAL PROVISIONS)...ETC 1977-ENG.pdf,"THE KARNATAKA RELIEF UNDERTAKINGS (SPECIAL PROVISIONS) ACT, 1977",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20RELIEF%20UNDERTAKINGS%20%28SPECIAL%20PROVISIONS%29...ETC%201977-ENG.pdf
A1974-02 (E).pdf,"THE CODE OF CRIMINAL PROCEDURE, 1973",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/A1974-02%20%28E%29.pdf
17 of 2019 (E).pdf,"THE KARNATAKA DEBT RELIEF ACT, 2018",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/17%20of%202019%20%28E%29.pdf
19 of 1973 (E).pdf,"THE CHARITABLE ENDOWMENTS (KARNATAKA AMENDMENT) ACT, 1973",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/19%20of%201973%20%28E%29.pdf
